"PREÇOS DO FRANGO CONGELADO CEPEA/ESALQ - ESTADO SP","",""
"","",""
"Fonte: Cepea","",""
"Data","À vista R$","À vista US$"
"30/07/2004","1.92","0.63"
"02/08/2004","1.92","0.63"
"03/08/2004","1.93","0.63"
"04/08/2004","1.93","0.63"
"05/08/2004","1.94","0.63"
"06/08/2004","1.94","0.64"
"09/08/2004","1.94","0.64"
"10/08/2004","1.95","0.64"
"11/08/2004","1.96","0.65"
"12/08/2004","1.95","0.64"
"13/08/2004","1.94","0.64"
"16/08/2004","1.94","0.64"
"17/08/2004","1.92","0.64"
"18/08/2004","1.93","0.65"
"19/08/2004","1.93","0.65"
"20/08/2004","1.92","0.65"
"23/08/2004","1.92","0.65"
"24/08/2004","1.92","0.65"
"25/08/2004","1.92","0.65"
"26/08/2004","1.92","0.65"
"27/08/2004","1.92","0.65"
"30/08/2004","1.92","0.65"
"31/08/2004","1.92","0.66"
"01/09/2004","1.92","0.65"
"02/09/2004","1.92","0.65"
"03/09/2004","1.95","0.67"
"06/09/2004","1.95","0.67"
"08/09/2004","1.96","0.68"
"09/09/2004","1.96","0.68"
"10/09/2004","1.96","0.68"
"13/09/2004","1.96","0.67"
"14/09/2004","1.96","0.67"
"15/09/2004","1.97","0.68"
"16/09/2004","1.97","0.68"
"17/09/2004","1.96","0.68"
"20/09/2004","1.96","0.68"
"21/09/2004","1.97","0.69"
"22/09/2004","1.97","0.68"
"23/09/2004","1.97","0.68"
"24/09/2004","1.97","0.69"
"27/09/2004","1.97","0.69"
"28/09/2004","1.96","0.68"
"29/09/2004","1.96","0.69"
"30/09/2004","1.96","0.69"
"01/10/2004","1.98","0.7"
"04/10/2004","1.98","0.7"
"05/10/2004","1.98","0.7"
"06/10/2004","2","0.7"
"07/10/2004","2","0.7"
"08/10/2004","2.01","0.71"
"11/10/2004","2.01","0.71"
"13/10/2004","2.02","0.71"
"14/10/2004","2.02","0.7"
"15/10/2004","2.02","0.71"
"18/10/2004","2.03","0.71"
"19/10/2004","2.03","0.71"
"20/10/2004","2.04","0.71"
"21/10/2004","2.03","0.71"
"22/10/2004","2.04","0.71"
"25/10/2004","2.04","0.71"
"26/10/2004","2.04","0.71"
"27/10/2004","2.06","0.72"
"28/10/2004","2.06","0.72"
"29/10/2004","2.06","0.72"
"01/11/2004","2.06","0.72"
"03/11/2004","2.06","0.73"
"04/11/2004","2.06","0.73"
"05/11/2004","2.07","0.73"
"08/11/2004","2.07","0.73"
"09/11/2004","2.08","0.74"
"10/11/2004","2.08","0.74"
"11/11/2004","2.09","0.74"
"12/11/2004","2.11","0.76"
"16/11/2004","2.13","0.76"
"17/11/2004","2.13","0.77"
"18/11/2004","2.13","0.77"
"19/11/2004","2.14","0.77"
"22/11/2004","2.14","0.78"
"23/11/2004","2.15","0.78"
"24/11/2004","2.15","0.78"
"25/11/2004","2.14","0.78"
"26/11/2004","2.14","0.78"
"29/11/2004","2.14","0.78"
"30/11/2004","2.15","0.79"
"01/12/2004","2.15","0.79"
"02/12/2004","2.16","0.79"
"03/12/2004","2.16","0.8"
"06/12/2004","2.17","0.8"
"07/12/2004","2.18","0.79"
"08/12/2004","2.19","0.79"
"09/12/2004","2.2","0.79"
"10/12/2004","2.21","0.8"
"13/12/2004","2.23","0.81"
"14/12/2004","2.24","0.81"
"15/12/2004","2.24","0.82"
"16/12/2004","2.24","0.82"
"17/12/2004","2.25","0.83"
"20/12/2004","2.23","0.83"
"21/12/2004","2.23","0.83"
"22/12/2004","2.22","0.82"
"23/12/2004","2.24","0.83"
"27/12/2004","2.26","0.84"
"28/12/2004","2.26","0.84"
"29/12/2004","2.24","0.84"
"30/12/2004","2.23","0.84"
"03/01/2005","2.23","0.83"
"04/01/2005","2.23","0.83"
"05/01/2005","2.22","0.82"
"06/01/2005","2.22","0.82"
"07/01/2005","2.21","0.82"
"10/01/2005","2.2","0.81"
"11/01/2005","2.19","0.8"
"12/01/2005","2.2","0.81"
"13/01/2005","2.19","0.81"
"14/01/2005","2.18","0.81"
"16/01/2005","2.18","0"
"17/01/2005","2.17","0.8"
"18/01/2005","2.16","0.79"
"19/01/2005","2.15","0.79"
"20/01/2005","2.11","0.78"
"21/01/2005","2.11","0.78"
"24/01/2005","2.11","0.79"
"25/01/2005","2.1","0.78"
"26/01/2005","2.11","0.79"
"27/01/2005","2.11","0.79"
"28/01/2005","2.1","0.79"
"31/01/2005","2.1","0.8"
"01/02/2005","2.09","0.8"
"02/02/2005","2.08","0.8"
"03/02/2005","2.07","0.8"
"04/02/2005","2.06","0.79"
"09/02/2005","2.06","0.79"
"10/02/2005","2.05","0.78"
"11/02/2005","2.08","0.8"
"14/02/2005","2.09","0.81"
"15/02/2005","2.1","0.81"
"16/02/2005","2.1","0.81"
"17/02/2005","2.09","0.82"
"18/02/2005","2.09","0.81"
"21/02/2005","2.09","0.81"
"22/02/2005","2.11","0.81"
"23/02/2005","2.1","0.81"
"24/02/2005","2.1","0.8"
"25/02/2005","2.11","0.81"
"28/02/2005","2.11","0.81"
"01/03/2005","2.11","0.81"
"02/03/2005","2.11","0.8"
"03/03/2005","2.1","0.78"
"04/03/2005","2.12","0.8"
"07/03/2005","2.12","0.79"
"08/03/2005","2.13","0.79"
"09/03/2005","2.13","0.79"
"10/03/2005","2.12","0.78"
"11/03/2005","2.12","0.78"
"14/03/2005","2.11","0.77"
"15/03/2005","2.1","0.76"
"16/03/2005","2.1","0.76"
"17/03/2005","2.1","0.77"
"18/03/2005","2.1","0.77"
"21/03/2005","2.1","0.77"
"22/03/2005","2.11","0.78"
"23/03/2005","2.1","0.76"
"24/03/2005","2.11","0.77"
"28/03/2005","2.1","0.77"
"29/03/2005","2.09","0.77"
"30/03/2005","2.08","0.78"
"31/03/2005","2.07","0.78"
"01/04/2005","2.07","0.78"
"04/04/2005","2.06","0.78"
"05/04/2005","2.06","0.78"
"06/04/2005","2.06","0.79"
"07/04/2005","2.05","0.79"
"08/04/2005","2.05","0.79"
"11/04/2005","2.05","0.79"
"12/04/2005","2.06","0.8"
"13/04/2005","2.05","0.8"
"14/04/2005","2.05","0.8"
"15/04/2005","2.05","0.78"
"18/04/2005","2.05","0.79"
"19/04/2005","2.05","0.8"
"20/04/2005","2.05","0.8"
"22/04/2005","2.04","0.8"
"25/04/2005","2.04","0.81"
"26/04/2005","2.05","0.81"
"27/04/2005","2.05","0.81"
"28/04/2005","2.05","0.8"
"29/04/2005","2.05","0.81"
"02/05/2005","2.05","0.82"
"03/05/2005","2.06","0.83"
"04/05/2005","2.06","0.83"
"05/05/2005","2.06","0.84"
"06/05/2005","2.06","0.84"
"09/05/2005","2.05","0.84"
"10/05/2005","2.04","0.82"
"11/05/2005","2.03","0.83"
"12/05/2005","2.03","0.82"
"13/05/2005","2.03","0.82"
"16/05/2005","2.03","0.82"
"17/05/2005","2.03","0.82"
"18/05/2005","2.03","0.83"
"19/05/2005","2.03","0.83"
"20/05/2005","2.03","0.83"
"23/05/2005","2.02","0.83"
"24/05/2005","2.03","0.84"
"25/05/2005","2.03","0.84"
"27/05/2005","2.03","0.85"
"30/05/2005","2.05","0.86"
"31/05/2005","2.05","0.85"
"01/06/2005","2.05","0.84"
"02/06/2005","2.05","0.85"
"03/06/2005","2.04","0.84"
"06/06/2005","2.04","0.83"
"07/06/2005","2.03","0.82"
"08/06/2005","2.01","0.82"
"09/06/2005","2.01","0.8"
"10/06/2005","2.01","0.81"
"13/06/2005","2.01","0.82"
"14/06/2005","2.01","0.83"
"15/06/2005","2.02","0.83"
"16/06/2005","2.01","0.84"
"17/06/2005","2.02","0.85"
"20/06/2005","2.02","0.84"
"21/06/2005","2.01","0.85"
"22/06/2005","2.01","0.84"
"23/06/2005","2","0.83"
"24/06/2005","2","0.84"
"27/06/2005","2","0.84"
"28/06/2005","2","0.84"
"29/06/2005","1.99","0.85"
"30/06/2005","1.98","0.85"
"01/07/2005","1.98","0.84"
"04/07/2005","1.99","0.84"
"05/07/2005","1.98","0.83"
"06/07/2005","1.98","0.83"
"07/07/2005","1.99","0.84"
"08/07/2005","1.99","0.84"
"11/07/2005","1.99","0.85"
"12/07/2005","1.97","0.84"
"13/07/2005","1.95","0.83"
"14/07/2005","1.95","0.83"
"15/07/2005","1.94","0.83"
"18/07/2005","1.95","0.83"
"19/07/2005","1.95","0.83"
"20/07/2005","1.95","0.83"
"21/07/2005","1.96","0.83"
"22/07/2005","1.97","0.82"
"25/07/2005","1.96","0.8"
"26/07/2005","1.95","0.8"
"27/07/2005","1.95","0.8"
"28/07/2005","1.95","0.81"
"29/07/2005","1.95","0.82"
"01/08/2005","1.95","0.82"
"02/08/2005","1.94","0.83"
"03/08/2005","1.94","0.84"
"04/08/2005","1.96","0.85"
"05/08/2005","1.96","0.85"
"08/08/2005","1.96","0.84"
"09/08/2005","1.97","0.86"
"10/08/2005","1.98","0.87"
"11/08/2005","1.99","0.85"
